"ensembl_gene_id","hgnc_symbol","entrezgene_id"
"ENSG00000004866","ST7",93655
"ENSG00000004897","CDC27",996
"ENSG00000004961","HCCS",3052
"ENSG00000004975","DVL2",1856
"ENSG00000005007","UPF1",5976
"ENSG00000005020","SKAP2",8935
"ENSG00000005022","SLC25A5",292
"ENSG00000005059","MCUB",55013
"ENSG00000005075","POLR2J",5439
"ENSG00000005100","DHX33",56919
"ENSG00000005108","THSD7A",221981
"ENSG00000005156","LIG3",3980
"ENSG00000005175","RPAP3",79657
"ENSG00000005187","ACSM3",6296
"ENSG00000005189","REXO5",81691
"ENSG00000005194","CIAPIN1",57019
"ENSG00000005206","SPPL2B",56928
"ENSG00000005238","ATOSB",80256
"ENSG00000005243","COPZ2",51226
"ENSG00000005249","PRKAR2B",5577
"ENSG00000005302","MSL3",10943
"ENSG00000005339","CREBBP",1387
"ENSG00000005379","TSPOAP1",9256
"ENSG00000005436","GCFC2",6936
"ENSG00000005448","WDR54",84058
"ENSG00000005469","CROT",54677
"ENSG00000005471","ABCB4",5244
"ENSG00000005483","KMT2E",55904
"ENSG00000005486","RHBDD2",57414
"ENSG00000005700","IBTK",25998
"ENSG00000005801","ZNF195",7748
"ENSG00000005810","MYCBP2",23077
"ENSG00000005812","FBXL3",26224
"ENSG00000005882","PDK2",5164
"ENSG00000005884","ITGA3",3675
"ENSG00000005889","ZFX",7543
"ENSG00000005893","LAMP2",3920
"ENSG00000005961","ITGA2B",3674
"ENSG00000006007","GDE1",51573
"ENSG00000006015","REX1BD",55049
"ENSG00000006016","CRLF1",9244
"ENSG00000006025","OSBPL7",114881
"ENSG00000006042","TMEM98",26022
"ENSG00000006062","MAP3K14",9020
"ENSG00000006118","TMEM132A",54972
"ENSG00000006125","AP2B1",163
"ENSG00000006194","ZNF263",10127
"ENSG00000006210","CX3CL1",6376
"ENSG00000006282","SPATA20",64847
"ENSG00000006283","CACNA1G",8913
"ENSG00000006327","TNFRSF12A",51330
"ENSG00000006432","MAP3K9",4293
"ENSG00000006451","RALA",5898
"ENSG00000006453","BAIAP2L1",55971
"ENSG00000006459","KDM7A",80853
"ENSG00000006468","ETV1",2115
"ENSG00000006530","AGK",55750
"ENSG00000006534","ALDH3B1",221
"ENSG00000006576","PHTF2",57157
"ENSG00000006606","CCL26",10344
"ENSG00000006607","FARP2",9855
"ENSG00000006625","GGCT",79017
"ENSG00000006634","DBF4",10926
"ENSG00000006638","TBXA2R",6915
"ENSG00000006652","IFRD1",3475
"ENSG00000006695","COX10",1352
"ENSG00000006704","GTF2IRD1",9569
"ENSG00000006712","PAF1",54623
"ENSG00000006715","VPS41",27072
"ENSG00000006740","ARHGAP44",9912
"ENSG00000006744","ELAC2",60528
"ENSG00000006756","ARSD",414
"ENSG00000006757","PNPLA4",8228
"ENSG00000006831","ADIPOR2",79602
"ENSG00000006837","CDKL3",51265
"ENSG00000007047","MARK4",57787
"ENSG00000007080","CCDC124",115098
"ENSG00000007168","PAFAH1B1",5048
"ENSG00000007202","BLTP2",9703
"ENSG00000007237","GAS7",8522
"ENSG00000007255","TRAPPC6A",79090
"ENSG00000007341","ST7L",54879
"ENSG00000007372","PAX6",5080
"ENSG00000007376","RPUSD1",113000
"ENSG00000007384","RHBDF1",64285
"ENSG00000007392","LUC7L",55692
"ENSG00000007402","CACNA2D2",9254
"ENSG00000007516","BAIAP3",8938
"ENSG00000007520","TSR3",115939
"ENSG00000007541","PIGQ",9091
"ENSG00000007545","CRAMP1",57585
"ENSG00000007866","TEAD3",7005
"ENSG00000007923","DNAJC11",55735
"ENSG00000007933","FMO3",2328
"ENSG00000007944","MYLIP",29116
"ENSG00000007952","NOX1",27035
"ENSG00000008018","PSMB1",5689
"ENSG00000008056","SYN1",6853
"ENSG00000008083","JARID2",3720
"ENSG00000008086","CDKL5",6792
"ENSG00000008118","CAMK1G",57172
"ENSG00000008128","CDK11A",728642
"ENSG00000008130","NADK",65220
"ENSG00000008226","DLEC1",9940
"ENSG00000008256","CYTH3",9265
"ENSG00000008277","ADAM22",53616
"ENSG00000008282","SYPL1",6856
"ENSG00000008283","CYB561",1534
"ENSG00000008294","SPAG9",9043
"ENSG00000008300","CELSR3",1951
"ENSG00000008311","AASS",10157
"ENSG00000008323","PLEKHG6",55200
"ENSG00000008324","SS18L2",51188
"ENSG00000008382","MPND",84954
"ENSG00000008394","MGST1",4257
"ENSG00000008405","CRY1",1407
"ENSG00000008441","NFIX",4784
"ENSG00000008513","ST3GAL1",6482
"ENSG00000008517","IL32",9235
"ENSG00000008710","PKD1",5310
"ENSG00000008735","MAPK8IP2",23542
"ENSG00000008838","MED24",9862
"ENSG00000008853","RHOBTB2",23221
"ENSG00000008869","HEATR5B",54497
"ENSG00000008952","SEC62",7095
"ENSG00000008988","RPS20",6224
"ENSG00000009307","CSDE1",7812
"ENSG00000009335","UBE3C",9690
"ENSG00000009413","REV3L",5980
"ENSG00000009724","MASP2",10747
"ENSG00000009780","FAM76A",199870
"ENSG00000009790","TRAF3IP3",80342
"ENSG00000009830","POMT2",29954
"ENSG00000009844","VTA1",51534
"ENSG00000009954","BAZ1B",9031
"ENSG00000010017","RANBP9",10048
"ENSG00000010030","ETV7",51513
"ENSG00000010072","SPRTN",83932
"ENSG00000010165","METTL13",51603
"ENSG00000010219","DYRK4",8798
"ENSG00000010244","ZNF207",7756
"ENSG00000010256","UQCRC1",7384
"ENSG00000010270","STARD3NL",83930
"ENSG00000010278","CD9",928
"ENSG00000010292","NCAPD2",9918
"ENSG00000010295","IFFO1",25900
"ENSG00000010310","GIPR",2696
"ENSG00000010318","PHF7",51533
"ENSG00000010322","NISCH",11188
"ENSG00000010361","FUZ",80199
"ENSG00000010404","IDS",3423
"ENSG00000010438","PRSS3",5646
"ENSG00000010539","ZNF200",7752
"ENSG00000010610","CD4",920
"ENSG00000010626","LRRC23",10233
"ENSG00000010704","HFE",3077
"ENSG00000010803","SCMH1",22955
"ENSG00000010810","FYN",2534
"ENSG00000010818","HIVEP2",3097
"ENSG00000011007","ELOA",6924
"ENSG00000011009","LYPLA2",11313
"ENSG00000011021","CLCN6",1185
"ENSG00000011028","MRC2",9902
"ENSG00000011105","TSPAN9",10867
"ENSG00000011114","BTBD7",55727
"ENSG00000011132","APBA3",9546
"ENSG00000011143","MKS1",54903
"ENSG00000011198","ABHD5",51099
"ENSG00000011243","AKAP8L",26993
"ENSG00000011258","MBTD1",54799
"ENSG00000011260","UTP18",51096
"ENSG00000011275","RNF216",54476
"ENSG00000011295","TTC19",54902
"ENSG00000011304","PTBP1",5725
"ENSG00000011332","DPF1",8193
"ENSG00000011347","SYT7",9066
"ENSG00000011376","LARS2",23395
"ENSG00000011405","PIK3C2A",5286
"ENSG00000011422","PLAUR",5329
"ENSG00000011426","ANLN",54443
"ENSG00000011451","WIZ",58525
"ENSG00000011454","RABGAP1",23637
"ENSG00000011465","DCN",1634
"ENSG00000011478","QPCTL",54814
"ENSG00000011485","PPP5C",5536
"ENSG00000011523","CEP68",23177
"ENSG00000011566","MAP4K3",8491
"ENSG00000011638","LDAF1",57146
"ENSG00000012048","BRCA1",672
"ENSG00000012061","ERCC1",2067
"ENSG00000012171","SEMA3B",7869
"ENSG00000012174","MBTPS2",51360
"ENSG00000012211","PRICKLE3",4007
"ENSG00000012232","EXTL3",2137
"ENSG00000012660","ELOVL5",60481
"ENSG00000012817","KDM5D",8284
"ENSG00000012822","CALCOCO1",57658
"ENSG00000012963","UBR7",55148
"ENSG00000012983","MAP4K5",11183
"ENSG00000013016","EHD3",30845
"ENSG00000013275","PSMC4",5704
"ENSG00000013288","MAN2B2",23324
"ENSG00000013293","SLC7A14",57709
"ENSG00000013297","CLDN11",5010
"ENSG00000013306","SLC25A39",51629
"ENSG00000013364","MVP",9961
"ENSG00000013374","NUB1",51667
"ENSG00000013375","PGM3",5238
"ENSG00000013392","RWDD2A",112611
"ENSG00000013441","CLK1",1195
"ENSG00000013503","POLR3B",55703
"ENSG00000013523","ANGEL1",23357
"ENSG00000013561","RNF14",9604
"ENSG00000013563","DNASE1L1",1774
"ENSG00000013573","DDX11",1663
"ENSG00000013583","HEBP1",50865
"ENSG00000013588","GPRC5A",9052
"ENSG00000013619","MAMLD1",10046
"ENSG00000013810","TACC3",10460
"ENSG00000014123","UFL1",23376
"ENSG00000014138","POLA2",23649
"ENSG00000014164","ZC3H3",23144
"ENSG00000014216","CAPN1",823
"ENSG00000014257","ACP3",55
"ENSG00000014641","MDH1",4190
"ENSG00000014824","SLC30A9",10463
"ENSG00000014914","MTMR11",10903
"ENSG00000014919","COX15",1355
"ENSG00000015133","CCDC88C",440193
"ENSG00000015153","YAF2",10138
"ENSG00000015171","ZMYND11",10771
"ENSG00000015285","WAS",7454
"ENSG00000015475","BID",637
"ENSG00000015479","MATR3",9782
"ENSG00000015520","NPC1L1",29881
"ENSG00000015532","XYLT2",64132
"ENSG00000015568","RGPD5",84220
"ENSG00000015568","RGPD5",727851
"ENSG00000015676","NUDCD3",23386
"ENSG00000016391","CHDH",55349
"ENSG00000016402","IL20RA",53832
"ENSG00000016864","GLT8D1",55830
"ENSG00000017260","ATP2C1",27032
"ENSG00000017427","IGF1",3479
"ENSG00000017483","SLC38A5",92745
"ENSG00000017797","RALBP1",10928
"ENSG00000018189","RUFY3",22902
"ENSG00000018236","CNTN1",1272
"ENSG00000018280","SLC11A1",6556
"ENSG00000018408","WWTR1",25937
"ENSG00000018510","AGPS",8540
"ENSG00000018610","STEEP1",63932
"ENSG00000018625","ATP1A2",477
"ENSG00000018699","TTC27",55622
"ENSG00000018869","ZNF582",147948
"ENSG00000019144","PHLDB1",23187
"ENSG00000019485","PRDM11",56981
"ENSG00000019549","SNAI2",6591
"ENSG00000019582","CD74",972
"ENSG00000019991","HGF",3082
"ENSG00000019995","ZRANB1",54764
"ENSG00000020129","NCDN",23154
"ENSG00000020181","ADGRA2",25960
"ENSG00000020256","ZFP64",55734
"ENSG00000020426","MNAT1",4331
"ENSG00000020577","SAMD4A",23034
"ENSG00000020633","RUNX3",864
"ENSG00000020922","MRE11",4361
"ENSG00000021300","PLEKHB1",58473
"ENSG00000021355","SERPINB1",1992
"ENSG00000021574","SPAST",6683
"ENSG00000021645","NRXN3",9369
"ENSG00000021762","OSBPL5",114879
"ENSG00000021776","AQR",9716
"ENSG00000021826","CPS1",1373
"ENSG00000022267","FHL1",2273
"ENSG00000022277","RTF2",51507
"ENSG00000022567","SLC45A4",57210
"ENSG00000022840","RNF10",9921
"ENSG00000022976","ZNF839",55778
"ENSG00000023041","ZDHHC6",64429
"ENSG00000023171","GRAMD1B",57476
"ENSG00000023191","RNH1",6050
"ENSG00000023228","NDUFS1",4719
"ENSG00000023287","RB1CC1",9821
"ENSG00000023318","ERP44",23071
"ENSG00000023330","ALAS1",211
"ENSG00000023445","BIRC3",330
"ENSG00000023516","AKAP11",11215
"ENSG00000023572","GLRX2",51022
"ENSG00000023608","SNAPC1",6617
"ENSG00000023697","DERA",51071
"ENSG00000023734","STRAP",11171
"ENSG00000023839","ABCC2",1244
"ENSG00000023892","DEF6",50619
"ENSG00000023902","PLEKHO1",51177
"ENSG00000023909","GCLM",2730
"ENSG00000024048","UBR2",23304
"ENSG00000024422","EHD2",30846
"ENSG00000024526","DEPDC1",55635
"ENSG00000024862","CCDC28A",25901
"ENSG00000025039","RRAGD",58528
"ENSG00000025156","HSF2",3298
"ENSG00000025293","PHF20",51230
"ENSG00000025423","HSD17B6",8630
"ENSG00000025434","NR1H3",10062
"ENSG00000025708","TYMP",1890
"ENSG00000025770","NCAPH2",29781
"ENSG00000025772","TOMM34",10953
"ENSG00000025796","SEC63",11231
"ENSG00000025800","KPNA6",23633
"ENSG00000026025","VIM",7431
"ENSG00000026036","RTEL1-TNFRSF6B",NA
"ENSG00000026103","FAS",355
"ENSG00000026297","RNASET2",8635
"ENSG00000026508","CD44",960
"ENSG00000026559","KCNG1",3755
"ENSG00000026652","AGPAT4",56895
"ENSG00000026950","BTN3A1",11119
"ENSG00000027001","MIPEP",4285
"ENSG00000027075","PRKCH",5583
"ENSG00000027697","IFNGR1",3459
"ENSG00000027847","B4GALT7",11285
"ENSG00000028116","VRK2",7444
"ENSG00000028137","TNFRSF1B",7133
"ENSG00000028203","VEZT",55591
"ENSG00000028277","POU2F2",5452
"ENSG00000028310","BRD9",65980
"ENSG00000028528","SNX1",6642
"ENSG00000028839","TBPL1",9519
"ENSG00000029153","BMAL2",56938
"ENSG00000029363","BCLAF1",9774
"ENSG00000029364","SLC39A9",55334
"ENSG00000029534","ANK1",286
"ENSG00000029639","TFB1M",51106
"ENSG00000029725","RABEP1",9135
"ENSG00000029993","HMGB3",3149
"ENSG00000030066","NUP160",23279
"ENSG00000030110","BAK1",578
"ENSG00000030304","MUSK",4593
"ENSG00000030419","IKZF2",22807
"ENSG00000030582","GRN",2896
"ENSG00000031003","FAM13B",51306
"ENSG00000031081","ARHGAP31",57514
"ENSG00000031691","CENPQ",55166
"ENSG00000031698","SARS1",6301
"ENSG00000031823","RANBP3",8498
"ENSG00000032219","ARID4A",5926
"ENSG00000032389","EIPR1",7260
"ENSG00000032444","PNPLA6",10908
"ENSG00000032742","IFT88",8100
"ENSG00000033011","ALG1",56052
"ENSG00000033030","ZCCHC8",55596
"ENSG00000033050","ABCF2",10061
"ENSG00000033100","CHPF2",54480
"ENSG00000033122","LRRC7",57554
"ENSG00000033170","FUT8",2530
"ENSG00000033178","UBA6",55236
"ENSG00000033327","GAB2",9846
"ENSG00000033627","ATP6V0A1",535
"ENSG00000033800","PIAS1",8554
"ENSG00000033867","SLC4A7",9497
"ENSG00000034053","APBA2",321
"ENSG00000034152","MAP2K3",5606
"ENSG00000034239","CLXN",79645
"ENSG00000034510","TMSB10",9168
"ENSG00000034533","ASTE1",28990
"ENSG00000034677","RNF19A",25897
"ENSG00000034693","PEX3",8504
"ENSG00000034713","GABARAPL2",11345
"ENSG00000034971","MYOC",4653
"ENSG00000035115","SH3YL1",26751
"ENSG00000035141","FAM136A",84908
"ENSG00000035403","VCL",7414
"ENSG00000035499","DEPDC1B",55789
"ENSG00000035664","DAPK2",23604
"ENSG00000035681","NSMAF",8439
"ENSG00000035687","ADSS2",159
"ENSG00000035862","TIMP2",7077
"ENSG00000035928","RFC1",5981
"ENSG00000036054","TBC1D23",55773
"ENSG00000036257","CUL3",8452
"ENSG00000036448","MYOM2",9172
"ENSG00000036530","CYP46A1",10858
"ENSG00000036549","ZZZ3",26009
"ENSG00000036672","USP2",9099
"ENSG00000037042","TUBG2",27175
"ENSG00000037241","RPL26L1",51121
"ENSG00000037474","NSUN2",54888
"ENSG00000037637","FBXO42",54455
"ENSG00000037749","MFAP3",4238
"ENSG00000037757","MRI1",84245
"ENSG00000037897","METTL1",4234
"ENSG00000037965","HOXC8",3224
"ENSG00000038002","AGA",175
"ENSG00000038210","PI4K2B",55300
"ENSG00000038219","BOD1L1",259282
"ENSG00000038274","MAT2B",27430
"ENSG00000038358","EDC4",23644
"ENSG00000038382","TRIO",7204
"ENSG00000038427","VCAN",1462
"ENSG00000038532","CLEC16A",23274
"ENSG00000038945","MSR1",4481
"ENSG00000039123","MTREX",23517
"ENSG00000039139","DNAH5",1767
"ENSG00000039319","ZFYVE16",9765
"ENSG00000039523","RIPOR1",79567
"ENSG00000039537","C6",729
"ENSG00000039560","RAI14",26064
"ENSG00000039600","SOX30",11063
"ENSG00000039650","PNKP",11284
"ENSG00000040199","PHLPP2",23035
"ENSG00000040275","SPDL1",54908
"ENSG00000040341","STAU2",27067
"ENSG00000040487","SLC66A1",54896
"ENSG00000040531","CTNS",1497
"ENSG00000040633","PHF23",79142
"ENSG00000040731","CDH10",1008
"ENSG00000040933","INPP4A",3631
"ENSG00000041353","RAB27B",5874
"ENSG00000041357","PSMA4",5685
"ENSG00000041515","MYO16",23026
"ENSG00000041802","LSG1",55341
"ENSG00000041880","PARP3",10039
"ENSG00000041982","TNC",3371
"ENSG00000041988","THAP3",90326
"ENSG00000042062","RIPOR3",140876
"ENSG00000042088","TDP1",55775
"ENSG00000042286","AIFM2",84883
"ENSG00000042317","SPATA7",55812
"ENSG00000042429","MED17",9440
"ENSG00000042445","RETSAT",54884
"ENSG00000042493","CAPG",822
"ENSG00000042753","AP2S1",1175
"ENSG00000042832","TG",7038
"ENSG00000042980","ADAM28",10863
"ENSG00000043093","DCUN1D1",54165
"ENSG00000043143","JADE2",23338
"ENSG00000043514","TRIT1",54802
"ENSG00000044090","CUL7",9820
"ENSG00000044115","CTNNA1",1495
"ENSG00000044446","PHKA2",5256
"ENSG00000044459","CNTLN",54875
"ENSG00000044524","EPHA3",2042
"ENSG00000044574","HSPA5",3309
"ENSG00000046647","GEMIN8",54960
"ENSG00000046651","OFD1",8481
"ENSG00000046653","GPM6B",2824
"ENSG00000046889","PREX2",80243
"ENSG00000047056","WDR37",22884
"ENSG00000047188","YTHDC2",64848
"ENSG00000047230","CTPS2",56474
"ENSG00000047249","ATP6V1H",51606
"ENSG00000047315","POLR2B",5431
"ENSG00000047346","ATOSA",56204
"ENSG00000047365","ARAP2",116984
"ENSG00000047410","TPR",7175
"ENSG00000047457","CP",1356
"ENSG00000047578","KATNIP",23247
"ENSG00000047579","DTNBP1",84062
"ENSG00000047617","ANO2",57101
"ENSG00000047621","C12orf4",57102
"ENSG00000047634","SCML1",6322
"ENSG00000047644","WWC3",55841
"ENSG00000047648","ARHGAP6",395
"ENSG00000047662","FAM184B",27146
"ENSG00000047849","MAP4",4134
"ENSG00000047932","GOPC",57120
"ENSG00000048028","USP28",57646
"ENSG00000048052","HDAC9",9734
"ENSG00000048140","TSPAN17",26262
"ENSG00000048162","NOP16",51491
"ENSG00000048342","CC2D2A",57545
"ENSG00000048392","RRM2B",50484
"ENSG00000048405","ZNF800",168850
"ENSG00000048471","SNX29",92017
"ENSG00000048540","LMO3",55885
"ENSG00000048544","MRPS10",55173
"ENSG00000048649","RSF1",51773
"ENSG00000048707","VPS13D",55187
"ENSG00000048740","CELF2",10659
"ENSG00000048828","FAM120A",23196
"ENSG00000048991","R3HDM1",23518
"ENSG00000049089","COL9A2",1298
"ENSG00000049130","KITLG",4254
"ENSG00000049167","ERCC8",1161
"ENSG00000049192","ADAMTS6",11174
"ENSG00000049239","H6PD",9563
"ENSG00000049245","VAMP3",9341
"ENSG00000049246","PER3",8863
"ENSG00000049283","EPN3",55040
"ENSG00000049323","LTBP1",4052
"ENSG00000049449","RCN1",5954
"ENSG00000049540","ELN",2006
"ENSG00000049541","RFC2",5982
"ENSG00000049618","ARID1B",57492
"ENSG00000049656","CLPTM1L",81037
"ENSG00000049759","NEDD4L",23327
"ENSG00000049768","FOXP3",50943
"ENSG00000049769","PPP1R3F",89801
"ENSG00000049860","HEXB",3074
"ENSG00000049883","PTCD2",79810
"ENSG00000050130","JKAMP",51528
"ENSG00000050165","DKK3",27122
"ENSG00000050327","ARHGEF5",7984
"ENSG00000050344","NFE2L3",9603
"ENSG00000050393","MCUR1",63933
"ENSG00000050405","LIMA1",51474
"ENSG00000050426","LETMD1",25875
"ENSG00000050438","SLC4A8",9498
"ENSG00000050555","LAMC3",10319
"ENSG00000050628","PTGER3",5733
"ENSG00000050748","MAPK9",5601
"ENSG00000050820","BCAR1",9564
"ENSG00000051009","FHIP1B",84067
"ENSG00000051108","HERPUD1",9709
"ENSG00000051128","HOMER3",9454
"ENSG00000051180","RAD51",5888
"ENSG00000051341","POLQ",10721
"ENSG00000051382","PIK3CB",5291
"ENSG00000051523","CYBA",1535
"ENSG00000051596","THOC3",84321
"ENSG00000051620","HEBP2",23593
"ENSG00000051825","MPHOSPH9",10198
"ENSG00000052126","PLEKHA5",54477
"ENSG00000052723","SIKE1",80143
"ENSG00000052749","RRP12",23223
"ENSG00000052795","FNIP2",57600
"ENSG00000052802","MSMO1",6307
"ENSG00000052841","TTC17",55761
"ENSG00000053254","FOXN3",1112
"ENSG00000053328","METTL24",728464
"ENSG00000053371","AKR7A2",8574
"ENSG00000053372","MRTO4",51154
"ENSG00000053438","NNAT",4826
"ENSG00000053501","USE1",55850
"ENSG00000053524","MCF2L2",23101
"ENSG00000053702","NRIP2",83714
"ENSG00000053747","LAMA3",3909
"ENSG00000053770","AP5M1",55745
"ENSG00000053900","ANAPC4",29945
"ENSG00000054116","TRAPPC3",27095
"ENSG00000054118","THRAP3",9967
"ENSG00000054148","PHPT1",29085
"ENSG00000054219","LY75",4065
"ENSG00000054267","ARID4B",51742
"ENSG00000054277","OPN3",23596
"ENSG00000054282","SDCCAG8",10806
"ENSG00000054356","PTPRN",5798
"ENSG00000054392","HHAT",55733
"ENSG00000054523","KIF1B",23095
"ENSG00000054598","FOXC1",2296
"ENSG00000054611","TBC1D22A",25771
"ENSG00000054654","SYNE2",23224
"ENSG00000054690","PLEKHH1",57475
"ENSG00000054793","ATP9A",10079
"ENSG00000054938","CHRDL2",25884
"ENSG00000054965","FAM168A",23201
"ENSG00000054967","RELT",84957
"ENSG00000054983","GALC",2581
"ENSG00000055044","NOP58",51602
"ENSG00000055070","SZRD1",26099
"ENSG00000055118","KCNH2",3757
"ENSG00000055130","CUL1",8454
"ENSG00000055147","FAM114A2",10827
"ENSG00000055163","CYFIP2",26999
"ENSG00000055208","TAB2",23118
"ENSG00000055211","GINM1",116254
"ENSG00000055332","EIF2AK2",5610
"ENSG00000055483","USP36",57602
"ENSG00000055609","KMT2C",58508
"ENSG00000055732","MCOLN3",55283
"ENSG00000055813","CCDC85A",114800
"ENSG00000055917","PUM2",23369
"ENSG00000055950","MRPL43",84545
"ENSG00000056050","HPF1",54969
"ENSG00000056097","ZFR",51663
"ENSG00000056277","ZNF280C",55609
"ENSG00000056558","TRAF1",7185
"ENSG00000056586","RC3H2",54542
"ENSG00000056736","IL17RB",55540
"ENSG00000056972","TRAF3IP2",10758
"ENSG00000056998","GYG2",8908
"ENSG00000057019","DCBLD2",131566
"ENSG00000057252","SOAT1",6646
"ENSG00000057294","PKP2",5318
"ENSG00000057468","MSH4",4438
"ENSG00000057593","F7",2155
"ENSG00000057608","GDI2",2665
"ENSG00000057657","PRDM1",639
"ENSG00000057663","ATG5",9474
"ENSG00000057704","TMCC3",57458
"ENSG00000057757","PITHD1",57095
"ENSG00000057935","MTA3",57504
"ENSG00000058056","USP13",8975
"ENSG00000058063","ATP11B",23200
"ENSG00000058085","LAMC2",3918
"ENSG00000058091","CDK14",5218
"ENSG00000058262","SEC61A1",29927
"ENSG00000058272","PPP1R12A",4659
"ENSG00000058453","CROCC",9696
"ENSG00000058600","POLR3E",55718
"ENSG00000058668","ATP2B4",493
"ENSG00000058673","ZC3H11A",9877
"ENSG00000058729","RIOK2",55781
"ENSG00000058799","YIPF1",54432
"ENSG00000058804","NDC1",55706
"ENSG00000059122","FLYWCH1",84256
"ENSG00000059145","UNKL",64718
"ENSG00000059377","TBXAS1",6916
"ENSG00000059378","PARP12",64761
"ENSG00000059573","ALDH18A1",5832
"ENSG00000059588","TARBP1",6894
"ENSG00000059691","GATB",5188
"ENSG00000059728","MXD1",4084
"ENSG00000059758","CDK17",5128
"ENSG00000059769","DNAJC25",548645
"ENSG00000059804","SLC2A3",6515
"ENSG00000059915","PSD",5662
"ENSG00000060069","CTDP1",9150
"ENSG00000060138","YBX3",8531
"ENSG00000060237","WNK1",65125
"ENSG00000060339","CCAR1",55749
"ENSG00000060491","OGFR",11054
"ENSG00000060642","PIGV",55650
"ENSG00000060656","PTPRU",10076
"ENSG00000060688","SNRNP40",9410
"ENSG00000060718","COL11A1",1301
"ENSG00000060749","QSER1",79832
"ENSG00000060762","MPC1",51660
"ENSG00000060971","ACAA1",30
"ENSG00000060982","BCAT1",586
"ENSG00000061273","HDAC7",51564
"ENSG00000061337","LZTS1",11178
"ENSG00000061455","PRDM6",93166
"ENSG00000061656","SPAG4",6676
"ENSG00000061676","NCKAP1",10787
"ENSG00000061794","MRPS35",60488
"ENSG00000061918","GUCY1B1",2983
"ENSG00000061936","SFSWAP",6433
"ENSG00000061938","TNK2",10188
"ENSG00000061987","MON2",23041
"ENSG00000062194","GPBP1",65056
"ENSG00000062282","DGAT2",84649
"ENSG00000062370","ZNF112",7771
"ENSG00000062485","CS",1431
"ENSG00000062582","MRPS24",64951
"ENSG00000062598","ELMO2",63916
"ENSG00000062650","WAPL",23063
"ENSG00000062716","VMP1",81671
"ENSG00000062725","APPBP2",10513
"ENSG00000062822","POLD1",5424
"ENSG00000063046","EIF4B",1975
"ENSG00000063127","SLC6A16",28968
"ENSG00000063169","BICRA",29998
"ENSG00000063176","SPHK2",56848
"ENSG00000063177","RPL18",6141
"ENSG00000063180","CA11",770
"ENSG00000063241","ISOC2",79763
"ENSG00000063244","U2AF2",11338
"ENSG00000063245","EPN1",29924
"ENSG00000063322","MED29",55588
"ENSG00000063438","AHRR",57491
"ENSG00000063587","ZNF275",10838
"ENSG00000063587","ZNF275",105373378
"ENSG00000063601","MTMR1",8776
"ENSG00000063660","GPC1",2817
"ENSG00000063761","ADCK1",57143
"ENSG00000063854","HAGH",3029
"ENSG00000063978","RNF4",6047
"ENSG00000064012","CASP8",841
"ENSG00000064042","LIMCH1",22998
"ENSG00000064102","INTS13",55726
"ENSG00000064115","TM7SF3",51768
"ENSG00000064199","SPA17",53340
"ENSG00000064201","TSPAN32",10077
"ENSG00000064205","CCN5",8839
"ENSG00000064225","ST3GAL6",10402
"ENSG00000064309","CDON",50937
"ENSG00000064313","TAF2",6873
"ENSG00000064393","HIPK2",28996
"ENSG00000064419","TNPO3",23534
